,STATE,REMARKS,,Crop,Districts,Production,Languages
3960,PUNJAB,Punjab,,Arhar/Tur,PATHANKOT,5,"""PUNJABI"""
5340,PUNJAB,Punjab,,Arhar/Tur,FATEHGARH SAHIB,5,"""PUNJABI"""
5440,PUNJAB,Punjab,,Arhar/Tur,GURDASPUR,5,"""PUNJABI"""
6580,PUNJAB,Punjab,,Arhar/Tur,LUDHIANA,5,"""PUNJABI"""
6880,PUNJAB,Punjab,,Arhar/Tur,PATIALA,5,"""PUNJABI"""
7140,PUNJAB,Punjab,,Arhar/Tur,RUPNAGAR,5,"""PUNJABI"""
8200,PUNJAB,Punjab,,Arhar/Tur,HOSHIARPUR,5,"""PUNJABI"""
8560,PUNJAB,Punjab,,Arhar/Tur,MUKTSAR,5,"""PUNJABI"""
8700,PUNJAB,Punjab,,Arhar/Tur,MANSA,5,"""PUNJABI"""
9080,PUNJAB,Punjab,,Arhar/Tur,S NAGAR,5,"""PUNJABI"""
9200,PUNJAB,Punjab,,Arhar/Tur,TARN TARAN,5,"""PUNJABI"""
9440,PUNJAB,Punjab,,Arhar/Tur,AMRITSAR,5,"""PUNJABI"""
10480,PUNJAB,Punjab,,Arhar/Tur,FIROZEPUR,5,"""PUNJABI"""
10660,PUNJAB,Punjab,,Arhar/Tur,SHAHID BHAGAT SINGH NAGAR,5,"""PUNJABI"""
10860,PUNJAB,Punjab,,Arhar/Tur,JALANDHAR,5,"""PUNJABI"""
12000,PUNJAB,Punjab,,Arhar/Tur,MOGA,5,"""PUNJABI"""
12700,PUNJAB,Punjab,,Arhar/Tur,BARNALA,5,"""PUNJABI"""
,Punjab,Punjab,,Arhar/Tur,Chiniot,51,"""NA"""
,Punjab,Punjab,,Arhar/Tur,Lahore,51,"""NA"""
,Punjab,Punjab,,Arhar/Tur,Bhakkar,51,"""NA"""
,Punjab,Punjab,,Arhar/Tur,Gujrat,51,"""NA"""
,Punjab,Punjab,,Arhar/Tur,Mandi Bahauddin,51,"""NA"""
,Punjab,Punjab,,Arhar/Tur,Hafizabad,51,"""NA"""
,Punjab,Punjab,,Arhar/Tur,Khushab,51,"""NA"""
,Punjab,Punjab,,Arhar/Tur,Attock,51,"""NA"""
,Punjab,Punjab,,Arhar/Tur,Jhang,51,"""NA"""
,Punjab,Punjab,,Arhar/Tur,Bahawalnagar,51,"""NA"""
,Punjab,Punjab,,Arhar/Tur,Bahawalpur,51,"""NA"""
,Punjab,Punjab,,Arhar/Tur,Chakwal,51,"""NA"""
,Punjab,Punjab,,Arhar/Tur,Dera Ghazi Khan,51,"""NA"""
,Punjab,Punjab,,Arhar/Tur,Faisalabad,51,"""NA"""
,Punjab,Punjab,,Arhar/Tur,Gujranwala,51,"""NA"""
,Punjab,Punjab,,Arhar/Tur,Jhelum,51,"""NA"""
,Punjab,Punjab,,Arhar/Tur,Kasur,51,"""NA"""
,Punjab,Punjab,,Arhar/Tur,Khanewal,51,"""NA"""
,Punjab,Punjab,,Arhar/Tur,Layyah,51,"""NA"""
,Punjab,Punjab,,Arhar/Tur,Lodhran,51,"""NA"""
,Punjab,Punjab,,Arhar/Tur,Mianwali,51,"""NA"""
,Punjab,Punjab,,Arhar/Tur,Multan,51,"""NA"""
,Punjab,Punjab,,Arhar/Tur,Muzaffargarh,51,"""NA"""
,Punjab,Punjab,,Arhar/Tur,Nankana Sahib,51,"""NA"""
,Punjab,Punjab,,Arhar/Tur,Narowal,51,"""NA"""
,Punjab,Punjab,,Arhar/Tur,Okara,51,"""NA"""
,Punjab,Punjab,,Arhar/Tur,Pakpattan,51,"""NA"""
,Punjab,Punjab,,Arhar/Tur,Rahim Yar Khan,51,"""NA"""
,Punjab,Punjab,,Arhar/Tur,Rajanpur,51,"""NA"""
,Punjab,Punjab,,Arhar/Tur,Rawalpindi,51,"""NA"""
,Punjab,Punjab,,Arhar/Tur,Sahiwal,51,"""NA"""
,Punjab,Punjab,,Arhar/Tur,Sargodha,51,"""NA"""
,Punjab,Punjab,,Arhar/Tur,Sheikhupura,51,"""NA"""
,Punjab,Punjab,,Arhar/Tur,Sialkot,51,"""NA"""
,Punjab,Punjab,,Arhar/Tur,Toba Tek Singh,51,"""NA"""
,Punjab,Punjab,,Arhar/Tur,Vehari,51,"""NA"""
700,RAJASTHAN,East Rajasthan,,Arhar/Tur,AJMER,25,"""MARWARI"""
1100,RAJASTHAN,East Rajasthan,,Arhar/Tur,KARAULI,25,"""MARWARI"""
1560,RAJASTHAN,East Rajasthan,,Arhar/Tur,SAWAI MADHOPUR,25,"""MARWARI"""
1620,RAJASTHAN,East Rajasthan,,Arhar/Tur,CHURU,25,"""MARWARI"""
1780,RAJASTHAN,East Rajasthan,,Arhar/Tur,SIROHI,25,"""SIROHI"""
2680,RAJASTHAN,East Rajasthan,,Arhar/Tur,JALORE,25,"""GODWARI"""
3100,RAJASTHAN,East Rajasthan,,Arhar/Tur,KOTA,25,"""MARWARI"""
3180,RAJASTHAN,East Rajasthan,,Arhar/Tur,PRATAPGARH,25,"""MEWARI"""
3220,RAJASTHAN,East Rajasthan,,Arhar/Tur,ALWAR,25,"""MARWARI"""
3500,RAJASTHAN,East Rajasthan,,Arhar/Tur,GANGANAGAR,25,"""MARWARI"""
4240,RAJASTHAN,East Rajasthan,,Arhar/Tur,BANSWARA,25,"""VAGDI"""
4840,RAJASTHAN,East Rajasthan,,Arhar/Tur,BHILWARA,25,"""MARWARI"""
4940,RAJASTHAN,East Rajasthan,,Arhar/Tur,JHUNJHUNU,25,"""MARWARI"""
5480,RAJASTHAN,East Rajasthan,,Arhar/Tur,JAIPUR,25,"""MARWARI"""
5560,RAJASTHAN,East Rajasthan,,Arhar/Tur,CHITTORGARH,25,"""MEWARI"""
5960,RAJASTHAN,East Rajasthan,,Arhar/Tur,DAUSA,25,"""MARWARI"""
6740,RAJASTHAN,East Rajasthan,,Arhar/Tur,PALI,25,"""MARWARI"""
7260,RAJASTHAN,East Rajasthan,,Arhar/Tur,TONK,25,"""MARWARI"""
8180,RAJASTHAN,East Rajasthan,,Arhar/Tur,DUNGARPUR,25,"""VAGDI"""
9600,RAJASTHAN,East Rajasthan,,Arhar/Tur,SIKAR,25,"""MARWARI"""
10300,RAJASTHAN,East Rajasthan,,Arhar/Tur,BHARATPUR,25,"""MARWARI"""
10360,RAJASTHAN,East Rajasthan,,Arhar/Tur,DHOLPUR,25,"""MARWARI"""
10880,RAJASTHAN,East Rajasthan,,Arhar/Tur,RAJSAMAND,25,"""MEWARI"""
11360,RAJASTHAN,East Rajasthan,,Arhar/Tur,BUNDI,25,"""MARWARI"""
11760,RAJASTHAN,East Rajasthan,,Arhar/Tur,NAGAUR,25,"""MARWARI"""
12140,RAJASTHAN,East Rajasthan,,Arhar/Tur,HANUMANGARH,25,"""MARWARI"""
12340,RAJASTHAN,East Rajasthan,,Arhar/Tur,BARAN,25,"""MARWARI"""
13320,RAJASTHAN,East Rajasthan,,Arhar/Tur,RATLAM,25,"""VAGDI"""
13500,RAJASTHAN,East Rajasthan,,Arhar/Tur,UDAIPUR,25,"""MEWARI"""
13720,RAJASTHAN,East Rajasthan,,Arhar/Tur,JHALAWAR,25,"""MARWARI"""
7540,RAJASTHAN,West Rajasthan,,Arhar/Tur,BARMER,25,"""MARWARI"""
7700,RAJASTHAN,West Rajasthan,,Arhar/Tur,JAISALMER,25,"""MARWARI"""
10600,RAJASTHAN,West Rajasthan,,Arhar/Tur,JODHPUR,25,"""MARWARI"""
11900,RAJASTHAN,West Rajasthan,,Arhar/Tur,BIKANER,25,"""MARWARI"""
2840,SIKKIM,Sub Himalayan West Bengal & Sikkim,,Arhar/Tur,WEST DISTRICT,26,"""MARWARI"""
7480,SIKKIM,Sub Himalayan West Bengal & Sikkim,,Arhar/Tur,NORTH DISTRICT,26,"""MARWARI"""
8860,SIKKIM,Sub Himalayan West Bengal & Sikkim,,Arhar/Tur,SOUTH DISTRICT,26,"""MARWARI"""
10840,SIKKIM,Sub Himalayan West Bengal & Sikkim,,Arhar/Tur,EAST DISTRICT,26,"""MARWARI"""
,Sindh,Sindh,,Arhar/Tur,Shikarpur,50,"""SINDHI"""
,Sindh,Sindh,,Arhar/Tur,Badin,50,"""SINDHI"""
,Sindh,Sindh,,Arhar/Tur,Dadu,50,"""SINDHI"""
,Sindh,Sindh,,Arhar/Tur,Ghotki,50,"""SINDHI"""
,Sindh,Sindh,,Arhar/Tur,Hyderabad,50,"""SINDHI"""
,Sindh,Sindh,,Arhar/Tur,Jacobabad,50,"""SINDHI"""
,Sindh,Sindh,,Arhar/Tur,Mirpurkhas,50,"""SINDHI"""
,Sindh,Sindh,,Arhar/Tur,Jamshoro,50,"""SINDHI"""
,Sindh,Sindh,,Arhar/Tur,Kambar-Shahdadkot,50,"""SINDHI"""
,Sindh,Sindh,,Arhar/Tur,Karachi,50,"""SINDHI"""
,Sindh,Sindh,,Arhar/Tur,Kashmore,50,"""SINDHI"""
,Sindh,Sindh,,Arhar/Tur,Khairpur,50,"""SINDHI"""
,Sindh,Sindh,,Arhar/Tur,Larkana,50,"""SINDHI"""
,Sindh,Sindh,,Arhar/Tur,Matiari,50,"""SINDHI"""
,Sindh,Sindh,,Arhar/Tur,Naushehro Feroze,50,"""SINDHI"""
,Sindh,Sindh,,Arhar/Tur,Sanghar,50,"""SINDHI"""
,Sindh,Sindh,,Arhar/Tur,Shaheed Benazirabad,50,"""SINDHI"""
,Sindh,Sindh,,Arhar/Tur,Sukkur,50,"""SINDHI"""
,Sindh,Sindh,,Arhar/Tur,Tando Allah Yar,50,"""SINDHI"""
,Sindh,Sindh,,Arhar/Tur,Tando Muhammad Khan,50,"""SINDHI"""
,Sindh,Sindh,,Arhar/Tur,Tharparkar,50,"""SINDHI"""
,Sindh,Sindh,,Arhar/Tur,Thatta,50,"""SINDHI"""
,Sindh,Sindh,,Arhar/Tur,Sajawal,50,"""SINDHI"""
,Sindh,Sindh,,Arhar/Tur,Umerkot,50,"""SINDHI"""
40,TAMIL NADU,Tamil Nadu,,Arhar/Tur,KANNIYAKUMARI,27,"""DRAVIDIAN"""
1040,TAMIL NADU,Tamil Nadu,,Arhar/Tur,THIRUVARUR,27,"""DRAVIDIAN"""
1320,TAMIL NADU,Tamil Nadu,,Arhar/Tur,PERAMBALUR,27,"""DRAVIDIAN"""
1840,TAMIL NADU,Tamil Nadu,,Arhar/Tur,DINDIGUL,27,"""DRAVIDIAN"""
2340,TAMIL NADU,Tamil Nadu,,Arhar/Tur,THANJAVUR,27,"""DRAVIDIAN"""
2500,TAMIL NADU,Tamil Nadu,,Arhar/Tur,KARUR,27,"""DRAVIDIAN"""
3460,TAMIL NADU,Tamil Nadu,,Arhar/Tur,THIRUVALLUR,27,"""DRAVIDIAN"""
4000,TAMIL NADU,Tamil Nadu,,Arhar/Tur,ERODE,27,"""DRAVIDIAN"""
4440,TAMIL NADU,Tamil Nadu,,Arhar/Tur,COIMBATORE,27,"""DRAVIDIAN"""
5160,TAMIL NADU,Tamil Nadu,,Arhar/Tur,PUDUKKOTTAI,27,"""DRAVIDIAN"""
5180,TAMIL NADU,Tamil Nadu,,Arhar/Tur,NAGAPATTINAM,27,"""DRAVIDIAN"""
6460,TAMIL NADU,Tamil Nadu,,Arhar/Tur,MADURAI,27,"""DRAVIDIAN"""
6800,TAMIL NADU,Tamil Nadu,,Arhar/Tur,TIRUCHIRAPPALLI,27,"""DRAVIDIAN"""
7180,TAMIL NADU,Tamil Nadu,,Arhar/Tur,CUDDALORE,27,"""DRAVIDIAN"""
7600,TAMIL NADU,Tamil Nadu,,Arhar/Tur,SIVAGANGA,27,"""DRAVIDIAN"""
7760,TAMIL NADU,Tamil Nadu,,Arhar/Tur,THE NILGIRIS,27,"""DRAVIDIAN"""
7860,TAMIL NADU,Tamil Nadu,,Arhar/Tur,TIRUNELVELI,27,"""DRAVIDIAN"""
8320,TAMIL NADU,Tamil Nadu,,Arhar/Tur,TUTICORIN,27,"""DRAVIDIAN"""
8600,TAMIL NADU,Tamil Nadu,,Arhar/Tur,KANCHIPURAM,27,"""DRAVIDIAN"""
8940,TAMIL NADU,Tamil Nadu,,Arhar/Tur,TIRUVANNAMALAI,27,"""DRAVIDIAN"""
11420,TAMIL NADU,Tamil Nadu,,Arhar/Tur,KRISHNAGIRI,27,"""DRAVIDIAN"""
11440,TAMIL NADU,Tamil Nadu,,Arhar/Tur,VIRUDHUNAGAR,27,"""DRAVIDIAN"""
11480,TAMIL NADU,Tamil Nadu,,Arhar/Tur,TIRUPPUR,27,"""DRAVIDIAN"""
11960,TAMIL NADU,Tamil Nadu,,Arhar/Tur,THENI,27,"""DRAVIDIAN"""
12060,TAMIL NADU,Tamil Nadu,,Arhar/Tur,NAMAKKAL,27,"""DRAVIDIAN"""
12360,TAMIL NADU,Tamil Nadu,,Arhar/Tur,VILLUPURAM,27,"""DRAVIDIAN"""
12760,TAMIL NADU,Tamil Nadu,,Arhar/Tur,RAMANATHAPURAM,27,"""DRAVIDIAN"""
12800,TAMIL NADU,Tamil Nadu,,Arhar/Tur,DHARMAPURI,27,"""DRAVIDIAN"""
13180,TAMIL NADU,Tamil Nadu,,Arhar/Tur,ARIYALUR,27,"""DRAVIDIAN"""
13300,TAMIL NADU,Tamil Nadu,,Arhar/Tur,VELLORE,27,"""DRAVIDIAN"""
13440,TAMIL NADU,Tamil Nadu,,Arhar/Tur,SALEM,27,"""DRAVIDIAN"""
,TAMIL NADU,TAMIL NADU,,Arhar/Tur,TIRUPATHUR,27,"""DRAVIDIAN"""
,TAMIL NADU,TAMIL NADU,,Arhar/Tur,RANIPET,27,"""DRAVIDIAN"""
,TAMIL NADU,TAMIL NADU,,Arhar/Tur,CHENNAI,27,"""DRAVIDIAN"""
,TAMIL NADU,TAMIL NADU,,Arhar/Tur,KALLAKURICHI,27,"""DRAVIDIAN"""
,TAMIL NADU,TAMIL NADU,,Arhar/Tur,TENKASI,27,"""DRAVIDIAN"""
100,TELANGANA,Telangana,,Arhar/Tur,NAGARKURNOOL,28,"""DRAVIDIAN"""
900,TELANGANA,Telangana,,Arhar/Tur,KHAMMAM,28,"""DRAVIDIAN"""
1160,TELANGANA,Telangana,,Arhar/Tur,NIZAMABAD,28,"""DRAVIDIAN"""
1480,TELANGANA,Telangana,,Arhar/Tur,RANGAREDDI,28,"""DRAVIDIAN"""
1500,TELANGANA,Telangana,,Arhar/Tur,WANAPARTHY,28,"""DRAVIDIAN"""
2420,TELANGANA,Telangana,,Arhar/Tur,HANUMAKONDA,28,"""DRAVIDIAN"""
2600,TELANGANA,Telangana,,Arhar/Tur,JAGITIAL,28,"""DRAVIDIAN"""
2660,TELANGANA,Telangana,,Arhar/Tur,KOMARAM BHEEM ASIFABAD,28,"""DRAVIDIAN"""
3120,TELANGANA,Telangana,,Arhar/Tur,JOGULAMBA,28,"""DRAVIDIAN"""
3380,TELANGANA,Telangana,,Arhar/Tur,VIKARABAD,28,"""DRAVIDIAN"""
3760,TELANGANA,Telangana,,Arhar/Tur,KARIMNAGAR,28,"""DRAVIDIAN"""
3940,TELANGANA,Telangana,,Arhar/Tur,WARANGAL,28,"""DRAVIDIAN"""
3980,TELANGANA,Telangana,,Arhar/Tur,MAHABUBABAD,28,"""DRAVIDIAN"""
5140,TELANGANA,Telangana,,Arhar/Tur,MANCHERIAL,28,"""DRAVIDIAN"""
5500,TELANGANA,Telangana,,Arhar/Tur,HYDERABAD,28,"""DRAVIDIAN"""
5600,TELANGANA,Telangana,,Arhar/Tur,MEDAK,28,"""DRAVIDIAN"""
5620,TELANGANA,Telangana,,Arhar/Tur,SURYAPET,28,"""DRAVIDIAN"""
5880,TELANGANA,Telangana,,Arhar/Tur,NALGONDA,28,"""DRAVIDIAN"""
6060,TELANGANA,Telangana,,Arhar/Tur,JAYASHANKAR,28,"""DRAVIDIAN"""
7820,TELANGANA,Telangana,,Arhar/Tur,MAHBUBNAGAR,28,"""DRAVIDIAN"""
8100,TELANGANA,Telangana,,Arhar/Tur,JANGOAN,28,"""DRAVIDIAN"""
8720,TELANGANA,Telangana,,Arhar/Tur,YADADRI,28,"""DRAVIDIAN"""
9300,TELANGANA,Telangana,,Arhar/Tur,MEDCHAL MALKAJGIRI,28,"""DRAVIDIAN"""
9400,TELANGANA,Telangana,,Arhar/Tur,BHADRADRI,28,"""DRAVIDIAN"""
9880,TELANGANA,Telangana,,Arhar/Tur,ADILABAD,28,"""DRAVIDIAN"""
10060,TELANGANA,Telangana,,Arhar/Tur,RAJANNA,28,"""DRAVIDIAN"""
10220,TELANGANA,Telangana,,Arhar/Tur,NIRMAL,28,"""DRAVIDIAN"""
10940,TELANGANA,Telangana,,Arhar/Tur,KAMAREDDY,28,"""DRAVIDIAN"""
11120,TELANGANA,Telangana,,Arhar/Tur,SANGAREDDY,28,"""DRAVIDIAN"""
11720,TELANGANA,Telangana,,Arhar/Tur,PEDDAPALLI,28,"""DRAVIDIAN"""
13560,TELANGANA,Telangana,,Arhar/Tur,SIDDIPET,28,"""DRAVIDIAN"""
,TELANGANA,TELANGANA,,Arhar/Tur,MULUGU,28,"""DRAVIDIAN"""
,TELANGANA,TELANGANA,,Arhar/Tur,NARAYANAPET,28,"""DRAVIDIAN"""
3160,TRIPURA,Naga Mani Mizo Tripura,,Arhar/Tur,DHALAI,29,"""MARWARI"""
4920,TRIPURA,Naga Mani Mizo Tripura,,Arhar/Tur,GOMATI,29,"""MARWARI"""
6760,TRIPURA,Naga Mani Mizo Tripura,,Arhar/Tur,KHOWAI,29,"""MARWARI"""
8620,TRIPURA,Naga Mani Mizo Tripura,,Arhar/Tur,WEST TRIPURA,29,"""MARWARI"""
8980,TRIPURA,Naga Mani Mizo Tripura,,Arhar/Tur,SOUTH TRIPURA,29,"""MARWARI"""
9060,TRIPURA,Naga Mani Mizo Tripura,,Arhar/Tur,UNAKOTI,29,"""MARWARI"""
10520,TRIPURA,Naga Mani Mizo Tripura,,Arhar/Tur,NORTH TRIPURA,29,"""MARWARI"""
12200,TRIPURA,Naga Mani Mizo Tripura,,Arhar/Tur,SEPAHIJALA,29,"""MARWARI"""
780,UTTAR PRADESH,East Uttar Pradesh,,Arhar/Tur,ALLAHABAD,30,"""MARWARI"""
920,UTTAR PRADESH,East Uttar Pradesh,,Arhar/Tur,GORAKHPUR,30,"""MARWARI"""
1420,UTTAR PRADESH,East Uttar Pradesh,,Arhar/Tur,KUSHI NAGAR,30,"""BHOJPURI"""
1460,UTTAR PRADESH,East Uttar Pradesh,,Arhar/Tur,BAHRAICH,30,"""MARWARI"""
2140,UTTAR PRADESH,East Uttar Pradesh,,Arhar/Tur,CHITRAKOOT,30,"""MARWARI"""
2880,UTTAR PRADESH,East Uttar Pradesh,,Arhar/Tur,MIRZAPUR,30,"""MARWARI"""
3260,UTTAR PRADESH,East Uttar Pradesh,,Arhar/Tur,SANT KABEER NAGAR,30,"""MARWARI"""
3420,UTTAR PRADESH,East Uttar Pradesh,,Arhar/Tur,MAHARAJGANJ,30,"""MARWARI"""
3700,UTTAR PRADESH,East Uttar Pradesh,,Arhar/Tur,DEORIA,30,"""BHOJPURI"""
4720,UTTAR PRADESH,East Uttar Pradesh,,Arhar/Tur,PRATAPGADH,30,"""MARWARI"""
6180,UTTAR PRADESH,East Uttar Pradesh,,Arhar/Tur,CHANDAULI,30,"""BHOJPURI"""
6440,UTTAR PRADESH,East Uttar Pradesh,,Arhar/Tur,AMBEDKAR NAGAR,30,"""MARWARI"""
7100,UTTAR PRADESH,East Uttar Pradesh,,Arhar/Tur,JAUNPUR,30,"""MARWARI"""
7380,UTTAR PRADESH,East Uttar Pradesh,,Arhar/Tur,GHAZIPUR,30,"""BHOJPURI"""
8420,UTTAR PRADESH,East Uttar Pradesh,,Arhar/Tur,BASTI,30,"""MARWARI"""
9040,UTTAR PRADESH,East Uttar Pradesh,,Arhar/Tur,SULTANPUR,30,"""MARWARI"""
9360,UTTAR PRADESH,East Uttar Pradesh,,Arhar/Tur,BALLIA,30,"""BHOJPURI"""
9680,UTTAR PRADESH,East Uttar Pradesh,,Arhar/Tur,GONDA,30,"""MARWARI"""
10280,UTTAR PRADESH,East Uttar Pradesh,,Arhar/Tur,AZAMGARH,30,"""MARWARI"""
11260,UTTAR PRADESH,East Uttar Pradesh,,Arhar/Tur,SONBHADRA,30,"""BHOJPURI"""
12220,UTTAR PRADESH,East Uttar Pradesh,,Arhar/Tur,SIDDHARTH NAGAR,30,"""MARWARI"""
13160,UTTAR PRADESH,East Uttar Pradesh,,Arhar/Tur,VARANASI,30,"""BHOJPURI"""
13240,UTTAR PRADESH,East Uttar Pradesh,,Arhar/Tur,MAU,30,"""BHOJPURI"""
13420,UTTAR PRADESH,East Uttar Pradesh,,Arhar/Tur,SANT RAVIDAS NAGAR,30,"""MARWARI"""
120,UTTAR PRADESH,West Uttar Pradesh,,Arhar/Tur,KANPUR DEHAT,30,"""MARWARI"""
260,UTTAR PRADESH,West Uttar Pradesh,,Arhar/Tur,FATEHPUR,30,"""MARWARI"""
580,UTTAR PRADESH,West Uttar Pradesh,,Arhar/Tur,BAREILLY,30,"""MARWARI"""
1180,UTTAR PRADESH,West Uttar Pradesh,,Arhar/Tur,BUDAUN,30,"""MARWARI"""
1900,UTTAR PRADESH,West Uttar Pradesh,,Arhar/Tur,SHAMLI,30,"""MARWARI"""
2060,UTTAR PRADESH,West Uttar Pradesh,,Arhar/Tur,LUCKNOW,30,"""MARWARI"""
2320,UTTAR PRADESH,West Uttar Pradesh,,Arhar/Tur,GHAZIABAD,30,"""BHOJPURI"""
2720,UTTAR PRADESH,West Uttar Pradesh,,Arhar/Tur,KAUSHAMBI,30,"""MARWARI"""
2740,UTTAR PRADESH,West Uttar Pradesh,,Arhar/Tur,UNNAO,30,"""MARWARI"""
2800,UTTAR PRADESH,West Uttar Pradesh,,Arhar/Tur,BANDA,30,"""MARWARI"""
2900,UTTAR PRADESH,West Uttar Pradesh,,Arhar/Tur,BAGHPAT,30,"""MARWARI"""
2960,UTTAR PRADESH,West Uttar Pradesh,,Arhar/Tur,RAMPUR,30,"""MARWARI"""
3720,UTTAR PRADESH,West Uttar Pradesh,,Arhar/Tur,ETAWAH,30,"""MARWARI"""
3780,UTTAR PRADESH,West Uttar Pradesh,,Arhar/Tur,KANPUR NAGAR,30,"""MARWARI"""
4100,UTTAR PRADESH,West Uttar Pradesh,,Arhar/Tur,AURAIYA,30,"""MARWARI"""
4560,UTTAR PRADESH,West Uttar Pradesh,,Arhar/Tur,JHANSI,30,"""BUNDELI"""
4760,UTTAR PRADESH,West Uttar Pradesh,,Arhar/Tur,SHAHJAHANPUR,30,"""MARWARI"""
4780,UTTAR PRADESH,West Uttar Pradesh,,Arhar/Tur,AGRA,30,"""MARWARI"""
4880,UTTAR PRADESH,West Uttar Pradesh,,Arhar/Tur,BARABANKI,30,"""MARWARI"""
5040,UTTAR PRADESH,West Uttar Pradesh,,Arhar/Tur,LALITPUR,30,"""BUNDELI"""
5460,UTTAR PRADESH,West Uttar Pradesh,,Arhar/Tur,MATHURA,30,"""MARWARI"""
5840,UTTAR PRADESH,West Uttar Pradesh,,Arhar/Tur,HAMIRPURA,30,"""MARWARI"""
6280,UTTAR PRADESH,West Uttar Pradesh,,Arhar/Tur,MUZAFFARNAGAR,30,"""MARWARI"""
6380,UTTAR PRADESH,West Uttar Pradesh,,Arhar/Tur,MAHOBA,30,"""MARWARI"""
6500,UTTAR PRADESH,West Uttar Pradesh,,Arhar/Tur,AYODHYA,30,"""MARWARI"""
6640,UTTAR PRADESH,West Uttar Pradesh,,Arhar/Tur,SAHARANPUR,30,"""MARWARI"""
7340,UTTAR PRADESH,West Uttar Pradesh,,Arhar/Tur,AMROHA,30,"""MARWARI"""
7880,UTTAR PRADESH,West Uttar Pradesh,,Arhar/Tur,JALAUN,30,"""MARWARI"""
7920,UTTAR PRADESH,West Uttar Pradesh,,Arhar/Tur,MORADABAD,30,"""MARWARI"""
8120,UTTAR PRADESH,West Uttar Pradesh,,Arhar/Tur,SITAPUR,30,"""MARWARI"""
8340,UTTAR PRADESH,West Uttar Pradesh,,Arhar/Tur,ALIGARH,30,"""MARWARI"""
9220,UTTAR PRADESH,West Uttar Pradesh,,Arhar/Tur,HATHRAS,30,"""MARWARI"""
9380,UTTAR PRADESH,West Uttar Pradesh,,Arhar/Tur,MEERUT,30,"""MARWARI"""
9560,UTTAR PRADESH,West Uttar Pradesh,,Arhar/Tur,BULANDSHAHR,30,"""MARWARI"""
9800,UTTAR PRADESH,West Uttar Pradesh,,Arhar/Tur,AMETHI,30,"""MARWARI"""
10100,UTTAR PRADESH,West Uttar Pradesh,,Arhar/Tur,PILIBHIT,30,"""MARWARI"""
10420,UTTAR PRADESH,West Uttar Pradesh,,Arhar/Tur,BIJNOR,30,"""MARWARI"""
11000,UTTAR PRADESH,West Uttar Pradesh,,Arhar/Tur,HARDOI,30,"""MARWARI"""
11080,UTTAR PRADESH,West Uttar Pradesh,,Arhar/Tur,RAE BARELI,30,"""MARWARI"""
11200,UTTAR PRADESH,West Uttar Pradesh,,Arhar/Tur,GAUTAM BUDDHA NAGAR,30,"""MARWARI"""
11580,UTTAR PRADESH,West Uttar Pradesh,,Arhar/Tur,FARRUKHABAD,30,"""MARWARI"""
11640,UTTAR PRADESH,West Uttar Pradesh,,Arhar/Tur,FIROZABAD,30,"""MARWARI"""
11820,UTTAR PRADESH,West Uttar Pradesh,,Arhar/Tur,BALRAMPURA,30,"""MARWARI"""
11880,UTTAR PRADESH,West Uttar Pradesh,,Arhar/Tur,SHRAVASTI,30,"""MARWARI"""
12420,UTTAR PRADESH,West Uttar Pradesh,,Arhar/Tur,HAPUR,30,"""MARWARI"""
12540,UTTAR PRADESH,West Uttar Pradesh,,Arhar/Tur,KHERI,30,"""MARWARI"""
12840,UTTAR PRADESH,West Uttar Pradesh,,Arhar/Tur,MAINPURI,30,"""MARWARI"""
12940,UTTAR PRADESH,West Uttar Pradesh,,Arhar/Tur,SAMBHAL,30,"""MARWARI"""
13040,UTTAR PRADESH,West Uttar Pradesh,,Arhar/Tur,KASGANJ,30,"""MARWARI"""
13460,UTTAR PRADESH,West Uttar Pradesh,,Arhar/Tur,KANNAUJ,30,"""MARWARI"""
13540,UTTAR PRADESH,West Uttar Pradesh,,Arhar/Tur,ETAH,30,"""MARWARI"""
300,UTTARAKHAND,Uttarakhand,,Arhar/Tur,DEHRADUN,31,"""MARWARI"""
3040,UTTARAKHAND,Uttarakhand,,Arhar/Tur,PITHORAGARH,31,"""MARWARI"""
3740,UTTARAKHAND,Uttarakhand,,Arhar/Tur,HARIDWAR,31,"""MARWARI"""
4700,UTTARAKHAND,Uttarakhand,,Arhar/Tur,CHAMOLI,31,"""MARWARI"""
6420,UTTARAKHAND,Uttarakhand,,Arhar/Tur,UDAM SINGH NAGAR,31,"""MARWARI"""
6680,UTTARAKHAND,Uttarakhand,,Arhar/Tur,UTTAR KASHI,31,"""MARWARI"""
7520,UTTARAKHAND,Uttarakhand,,Arhar/Tur,RUDRA PRAYAG,31,"""MARWARI"""
8480,UTTARAKHAND,Uttarakhand,,Arhar/Tur,PAURI GARHWAL,31,"""MARWARI"""
8680,UTTARAKHAND,Uttarakhand,,Arhar/Tur,CHAMPAWAT,31,"""MARWARI"""
9100,UTTARAKHAND,Uttarakhand,,Arhar/Tur,ALMORA,31,"""MARWARI"""
11300,UTTARAKHAND,Uttarakhand,,Arhar/Tur,NAINITAL,31,"""MARWARI"""
11920,UTTARAKHAND,Uttarakhand,,Arhar/Tur,TEHRI GARHWAL,31,"""MARWARI"""
12880,UTTARAKHAND,Uttarakhand,,Arhar/Tur,BAGESHWAR,31,"""MARWARI"""
460,WEST BENGAL,Gangetic West Bengal,,Arhar/Tur,NADIA,32,"""BENGALI"""
