,STATE,REMARKS,,Crop,Districts,Production,Languages
3520,BIHAR,Bihar,,Arhar/Tur,SARAN,4,"""MAGAHI"""
3860,BIHAR,Bihar,,Arhar/Tur,SIWAN,4,"""BAJJIKA"""
4300,BIHAR,Bihar,,Arhar/Tur,MADHEPURA,4,"""MAITHILI"""
5420,BIHAR,Bihar,,Arhar/Tur,VAISHALI,4,"""MAGAHI"""
5800,BIHAR,Bihar,,Arhar/Tur,SITAMARHI,4,"""MAITHILI"""
6000,BIHAR,Bihar,,Arhar/Tur,KISHANGANJ,4,"""MAITHILI"""
6020,BIHAR,Bihar,,Arhar/Tur,LAKHISARAI,4,"""MAGAHI"""
6620,BIHAR,Bihar,,Arhar/Tur,PURBI CHAMPARAN,4,"""BAJJIKA"""
6820,BIHAR,Bihar,,Arhar/Tur,NALANDA,4,"""MAGAHI"""
7080,BIHAR,Bihar,,Arhar/Tur,ROHTAS,4,"""MAGAHI"""
7400,BIHAR,Bihar,,Arhar/Tur,PURNIA,4,"""MAITHILI"""
9280,BIHAR,Bihar,,Arhar/Tur,SAMASTIPUR,4,"""MAGAHI"""
10080,BIHAR,Bihar,,Arhar/Tur,SAHARSA,4,"""MAITHILI"""
11280,BIHAR,Bihar,,Arhar/Tur,MADHUBANI,4,"""MAITHILI"""
12580,BIHAR,Bihar,,Arhar/Tur,NAWADA,4,"""MAGAHI"""
12740,BIHAR,Bihar,,Arhar/Tur,SHEOHAR,4,"""MAITHILI"""
13640,BIHAR,Bihar,,Arhar/Tur,MUZAFFARPUR,4,"""MAITHILI"""
1220,BIHAR,,,Arhar/Tur,BEGUSARAI,4,"""MAGAHI"""
1280,BIHAR,,,Arhar/Tur,JAMUI,4,"""MAGAHI"""
2560,BIHAR,,,Arhar/Tur,KHAGARIA,4,"""MAGAHI"""
3480,BIHAR,,,Arhar/Tur,JEHANABAD,4,"""MAGAHI"""
4800,BIHAR,,,Arhar/Tur,BHOJPUR,4,"""MAGAHI"""
5000,BIHAR,,,Arhar/Tur,DARBHANGA,4,"""MAITHILI"""
7320,BIHAR,,,Arhar/Tur,BHAGALPUR,4,"""MAGAHI"""
8920,BIHAR,,,Arhar/Tur,GAYA,4,"""MAGAHI"""
9020,BIHAR,,,Arhar/Tur,GOPALGANJ,4,"""BAJJIKA"""
9640,BIHAR,,,Arhar/Tur,KATIHAR,4,"""MAITHILI"""
10120,BIHAR,,,Arhar/Tur,ARWAL,4,"""MAGAHI"""
10680,BIHAR,,,Arhar/Tur,BANKA,4,"""MAGAHI"""
12280,BIHAR,,,Arhar/Tur,KAIMUR (BHABUA),4,"""BHOJPURI"""
12440,BIHAR,,,Arhar/Tur,ARARIA,4,"""MAITHILI"""
13520,BIHAR,,,Arhar/Tur,BUXAR,4,"""MAGAHI"""
13760,BIHAR,,,Arhar/Tur,AURANGABADA,4,"""MAGAHI"""
5660,CHANDIGARH,Haryana Delhi & Chandigarh,,Arhar/Tur,CHANDIGARH,5,"""NA"""
60,CHHATTISGARH,Chhattisgarh,,Arhar/Tur,SURAJPUR,6,"""CHHATTISGARHI"""
480,CHHATTISGARH,Chhattisgarh,,Arhar/Tur,KOREA,6,"""CHHATTISGARHI"""
680,CHHATTISGARH,Chhattisgarh,,Arhar/Tur,RAJNANDGAON,6,"""CHHATTISGARHI"""
720,CHHATTISGARH,Chhattisgarh,,Arhar/Tur,KABIRDHAM,6,"""CHHATTISGARHI"""
1360,CHHATTISGARH,Chhattisgarh,,Arhar/Tur,GARIYABAND,6,"""BHATTI"""
1580,CHHATTISGARH,Chhattisgarh,,Arhar/Tur,SURGUJA,6,"""CHHATTISGARHI"""
2100,CHHATTISGARH,Chhattisgarh,,Arhar/Tur,MUNGELI,6,"""CHHATTISGARHI"""
2400,CHHATTISGARH,Chhattisgarh,,Arhar/Tur,DANTEWADA,6,"""HALBI"""
3620,CHHATTISGARH,Chhattisgarh,,Arhar/Tur,MAHASAMUND,6,"""CHHATTISGARHI"""
4180,CHHATTISGARH,Chhattisgarh,,Arhar/Tur,BASTAR,6,"""HALBI"""
4340,CHHATTISGARH,Chhattisgarh,,Arhar/Tur,DHAMTARI,6,"""BHATTI"""
4740,CHHATTISGARH,Chhattisgarh,,Arhar/Tur,RAIGARH,6,"""CHHATTISGARHI"""
5020,CHHATTISGARH,Chhattisgarh,,Arhar/Tur,BEMETARA,6,"""CHHATTISGARHI"""
5080,CHHATTISGARH,Chhattisgarh,,Arhar/Tur,SUKMA,6,"""HALBI"""
5240,CHHATTISGARH,Chhattisgarh,,Arhar/Tur,BALRAMPUR,6,"""CHHATTISGARHI"""
6360,CHHATTISGARH,Chhattisgarh,,Arhar/Tur,RAIPUR,6,"""CHHATTISGARHI"""
8760,CHHATTISGARH,Chhattisgarh,,Arhar/Tur,BILASPURA,6,"""CHHATTISGARHI"""
8820,CHHATTISGARH,Chhattisgarh,,Arhar/Tur,BALODA BAZAR,6,"""CHHATTISGARHI"""
9140,CHHATTISGARH,Chhattisgarh,,Arhar/Tur,BALOD,6,"""BHATTI"""
9480,CHHATTISGARH,Chhattisgarh,,Arhar/Tur,DURG,6,"""CHHATTISGARHI"""
9720,CHHATTISGARH,Chhattisgarh,,Arhar/Tur,JASHPUR,6,"""CHHATTISGARHI"""
10040,CHHATTISGARH,Chhattisgarh,,Arhar/Tur,NARAYANPUR,6,"""BHATTI"""
10760,CHHATTISGARH,Chhattisgarh,,Arhar/Tur,BIJAPUR,6,"""HALBI"""
11840,CHHATTISGARH,Chhattisgarh,,Arhar/Tur,KORBA,6,"""CHHATTISGARHI"""
12080,CHHATTISGARH,Chhattisgarh,,Arhar/Tur,JANJGIR-CHAMPA,6,"""CHHATTISGARHI"""
12960,CHHATTISGARH,Chhattisgarh,,Arhar/Tur,KONDAGAON,6,"""BHATTI"""
13480,CHHATTISGARH,Chhattisgarh,,Arhar/Tur,KANKER,6,"""BHATTI"""
,CHHATTISGARH,CHHATTISGARH,,Arhar/Tur,GAURELLA-PENDRA-MARWAHI,6,"""CHHATTISGARHI"""
7000,DADRA & NAGAR HAVELI & DAMAN & DIU,,,Arhar/Tur,DAMAN,7,"""NA"""
7840,DADRA & NAGAR HAVELI & DAMAN & DIU,,,Arhar/Tur,DADRA AND NAGAR HAVELI,7,"""NA"""
11600,DADRA & NAGAR HAVELI & DAMAN & DIU,,,Arhar/Tur,DIU,7,"""NA"""
11800,DELHI,Haryana Delhi & Chandigarh,,Arhar/Tur,DELHI_TOTAL,5,"""NA"""
,Federally Administered Tribal Areas,Federally Administered Tribal Areas,,Arhar/Tur,FR Tank,54,"""NA"""
,Federally Administered Tribal Areas,Federally Administered Tribal Areas,,Arhar/Tur,Orakzai Agency,54,"""NA"""
,Federally Administered Tribal Areas,Federally Administered Tribal Areas,,Arhar/Tur,FR Peshawar,54,"""NA"""
,Federally Administered Tribal Areas,Federally Administered Tribal Areas,,Arhar/Tur,FR DI Khan,54,"""NA"""
,Federally Administered Tribal Areas,Federally Administered Tribal Areas,,Arhar/Tur,Khyber Agency,54,"""NA"""
,Federally Administered Tribal Areas,Federally Administered Tribal Areas,,Arhar/Tur,Kurram Agency,54,"""NA"""
,Federally Administered Tribal Areas,Federally Administered Tribal Areas,,Arhar/Tur,Mohmand Agency,54,"""NA"""
,Federally Administered Tribal Areas,Federally Administered Tribal Areas,,Arhar/Tur,Bajaur Agency,54,"""NA"""
,Federally Administered Tribal Areas,Federally Administered Tribal Areas,,Arhar/Tur,FR Bannu,54,"""NA"""
,Federally Administered Tribal Areas,Federally Administered Tribal Areas,,Arhar/Tur,FR Kohat,54,"""NA"""
,Federally Administered Tribal Areas,Federally Administered Tribal Areas,,Arhar/Tur,FR Lakki Marwat,54,"""NA"""
,Federally Administered Tribal Areas,Federally Administered Tribal Areas,,Arhar/Tur,North Waziristan Agency,54,"""NA"""
,Federally Administered Tribal Areas,Federally Administered Tribal Areas,,Arhar/Tur,South Waziristan Agency,54,"""NA"""
,Gilgit-Baltistan,Gilgit-Baltistan,,Arhar/Tur,Astor,54,"""NA"""
