Districts,Languages
DHAR,"""MALVI"""
UJJAIN,"""NA"""
BARWANI,"""NIMADI"""
KHARGONE,"""NIMADI"""
RAJGARH,"""NA"""
JHABUA,"""MALVI"""
KHANDWA,"""NIMADI"""
BURHANPUR,"""NIMADI"""
ALIRAJPUR,"""MALVI"""
AGAR MALWA,"""NA"""
PALGHAR,"""MARATHI"""
RATNAGIRI,"""MARATHI"""
RAIGAD,"""MARATHI"""
SINDHUDURG,"""MARATHI"""
THANE,"""MARATHI"""
MUMBAI SUBURBAN,"""MARATHI"""
NASHIK,"""MARATHI"""
SATARA,"""MARATHI"""
DHULE,"""MARATHI"""
PUNE,"""MARATHI"""
JALGAON,"""MARATHI"""
KOLHAPUR,"""MARATHI"""
NANDURBAR,"""MARATHI"""
SANGLI,"""MARATHI"""
SOLAPUR,"""MARATHI"""
AHMEDNAGAR,"""MARATHI"""
NANDED,"""MARATHI"""
HINGOLI,"""MARATHI"""
OSMANABAD,"""MARATHI"""
AURANGABAD,"""MARATHI"""
PARBHANI,"""MARATHI"""
BEED,"""MARATHI"""
JALNA,"""MARATHI"""
LATUR,"""MARATHI"""
CHANDRAPUR,"""MARATHI"""
GONDIA,"""MARATHI"""
WASHIM,"""MARATHI"""
GADCHIROLI,"""MARATHI"""
YAVATMAL,"""MARATHI"""
WARDHA,"""MARATHI"""
AMRAVATI,"""MARATHI"""
NAGPUR,"""MARATHI"""
AKOLA,"""MARATHI"""
BHANDARA,"""MARATHI"""
BULDHANA,"""MARATHI"""
KANGPOKPI,"""NA"""
BISHNUPUR,"""NA"""
SENAPATI,"""NA"""
TAMENGLONG,"""NA"""
IMPHAL EAST,"""NA"""
CHANDEL,"""NA"""
UKHRUL,"""NA"""
IMPHAL WEST,"""NA"""
CHURACHANDPUR,"""NA"""
THOUBAL,"""NA"""
RI BHOI,"""NA"""
WEST JAINTIA HILLS,"""NA"""
EAST KHASI HILLS,"""NA"""
WEST GARO HILLS,"""NA"""
EAST JAINTIA HILLS,"""NA"""
